Store,Date,Weekly_Sales,Holiday_Flag,Column1,Temperature,Fuel_Price,CPI,Unemployment
1,2/5/2010,1643690.9,0,Non Holiday,42.31,2.572,211.1,8.11
1,2/12/2010,1641957.44,1,Holiday,38.51,2.548,211.24,8.11
1,2/19/2010,1611968.17,0,Non Holiday,39.93,2.514,211.29,8.11
1,2/26/2010,1409727.59,0,Non Holiday,46.63,2.561,211.32,8.11
1,3/5/2010,1554806.68,0,Non Holiday,46.5,2.625,211.35,8.11
1,3/12/2010,1439541.59,0,Non Holiday,57.79,2.667,211.38,8.11
1,3/19/2010,1472515.79,0,Non Holiday,54.58,2.72,211.22,8.11
1,3/26/2010,1404429.92,0,Non Holiday,51.45,2.732,211.02,8.11
1,4/2/2010,1594968.28,0,Non Holiday,62.27,2.719,210.82,7.81
1,4/9/2010,1545418.53,0,Non Holiday,65.86,2.77,210.62,7.81
1,4/16/2010,1466058.28,0,Non Holiday,66.32,2.808,210.49,7.81
1,4/23/2010,1391256.12,0,Non Holiday,64.84,2.795,210.44,7.81
1,4/30/2010,1425100.71,0,Non Holiday,67.41,2.78,210.39,7.81
1,5/7/2010,1603955.12,0,Non Holiday,72.55,2.835,210.34,7.81
1,5/14/2010,1494251.5,0,Non Holiday,74.78,2.854,210.34,7.81
1,5/21/2010,1399662.07,0,Non Holiday,76.44,2.826,210.62,7.81
1,5/28/2010,1432069.95,0,Non Holiday,80.44,2.759,210.9,7.81
1,6/4/2010,1615524.71,0,Non Holiday,80.69,2.705,211.18,7.81
1,6/11/2010,1542561.09,0,Non Holiday,80.43,2.668,211.46,7.81
1,6/18/2010,1503284.06,0,Non Holiday,84.11,2.637,211.45,7.81
1,6/25/2010,1422711.6,0,Non Holiday,84.34,2.653,211.34,7.81
1,7/2/2010,1492418.14,0,Non Holiday,80.91,2.669,211.22,7.79
1,7/9/2010,1546074.18,0,Non Holiday,80.48,2.642,211.11,7.79
1,7/16/2010,1448938.92,0,Non Holiday,83.15,2.623,211.1,7.79
1,7/23/2010,1385065.2,0,Non Holiday,83.36,2.608,211.24,7.79
1,7/30/2010,1371986.6,0,Non Holiday,81.84,2.64,211.37,7.79
1,8/6/2010,1605491.78,0,Non Holiday,87.16,2.627,211.5,7.79
1,8/13/2010,1508237.76,0,Non Holiday,87,2.692,211.64,7.79
1,8/20/2010,1513080.49,0,Non Holiday,86.65,2.664,211.6,7.79
1,8/27/2010,1449142.92,0,Non Holiday,85.22,2.619,211.57,7.79
1,9/3/2010,1540163.53,0,Non Holiday,81.21,2.577,211.53,7.79
1,9/10/2010,1507460.69,1,Holiday,78.69,2.565,211.5,7.79
1,9/17/2010,1430378.67,0,Non Holiday,82.11,2.582,211.52,7.79
1,9/24/2010,1351791.03,0,Non Holiday,80.94,2.624,211.6,7.79
1,10/1/2010,1453329.5,0,Non Holiday,71.89,2.603,211.67,7.84
1,10/8/2010,1508239.93,0,Non Holiday,63.93,2.633,211.75,7.84
1,10/15/2010,1459409.1,0,Non Holiday,67.18,2.72,211.81,7.84
1,10/22/2010,1345454,0,Non Holiday,69.86,2.725,211.86,7.84
1,10/29/2010,1384209.22,0,Non Holiday,69.64,2.716,211.91,7.84
1,11/5/2010,1551659.28,0,Non Holiday,58.74,2.689,211.96,7.84
1,11/12/2010,1494479.49,0,Non Holiday,59.61,2.728,212,7.84
1,11/19/2010,1483784.18,0,Non Holiday,51.41,2.771,211.89,7.84
1,11/26/2010,1955624.11,1,Holiday,64.52,2.735,211.75,7.84
1,12/3/2010,1548033.78,0,Non Holiday,49.27,2.708,211.61,7.84
1,12/10/2010,1682614.26,0,Non Holiday,46.33,2.843,211.47,7.84
1,12/17/2010,1891034.93,0,Non Holiday,49.84,2.869,211.41,7.84
1,12/24/2010,2387950.2,0,Non Holiday,52.33,2.886,211.41,7.84
1,12/31/2010,1367320.01,1,Holiday,48.43,2.943,211.4,7.84
1,1/7/2011,1444732.28,0,Non Holiday,48.27,2.976,211.4,7.74
1,1/14/2011,1391013.96,0,Non Holiday,35.4,2.983,211.46,7.74
1,1/21/2011,1327405.42,0,Non Holiday,44.04,3.016,211.83,7.74
1,1/28/2011,1316899.31,0,Non Holiday,43.83,3.01,212.2,7.74
